GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ResortsLite,com.demo.resortslite.entity,Booking,0,93,0,0,0,39,0,19,0,19
ResortsLite,com.demo.resortslite.config,DatabaseConfig,168,0,0,0,42,0,4,0,4,0
ResortsLite,com.demo.resortslite.config,PostgreSQLConfig,185,0,0,0,45,0,4,0,4,0
ResortsLite,com.demo.resortslite,BookingService.RoomType,0,39,0,2,0,8,0,3,0,2
ResortsLite,com.demo.resortslite,BookingService,3,333,0,20,2,69,0,24,0,11
ResortsLite,com.demo.resortslite,ResortsLiteApplication,5,3,0,0,2,1,1,1,1,1
ResortsLite,com.demo.resortslite,BookingController,0,176,0,0,0,38,0,8,0,8
ResortsLite,com.demo.resortslite,ReportService,27,199,6,16,6,43,6,12,0,7
